kernel_id,kernel_repr,penalty,seed,n_train,n_test,r2,mae,rmse,fit_time_s
k09,"1**2 * RationalQuadratic(alpha=10, length_scale=1)",1000000.0,103,630,270,0.9365099478904945,128320.97660474107,170521.01678966865,1.9972263750096317
k10,1**2 * DotProduct(sigma_0=1) + RBF(length_scale=1),1000000.0,103,630,270,0.9357169394123447,128720.96538057076,171582.63964112374,1.6230760419857688
k11,"1**2 * DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)",1000000.0,103,630,270,0.925655115767213,135196.58372766877,184523.0466518804,2.0257022909936495
k12,1**2 * DotProduct(sigma_0=0.1) + RBF(length_scale=1),1000000.0,103,630,270,0.935716925938932,128720.97677857413,171582.65762256068,1.6681803340034094
k13,1**2 * DotProduct(sigma_0=1),1000000.0,103,630,270,0.5767390246741637,324848.55837324075,440280.23137059534,1.1318569170252886
k14,"1**2 * ExpSineSquared(length_scale=1, periodicity=1)",1000000.0,103,630,270,-0.002496805978618566,485474.79460433865,677589.3488965615,0.3811907909985166
k15,"1**2 * RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1)",1000000.0,103,630,270,0.9366986394672364,128903.20494419303,170267.43516060463,1.6844379999965895
k16,"1**2 * Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=1)",1000000.0,103,630,270,0.9349360160515673,129998.12362645252,172621.7034359272,1.5242049579974264
k17,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-12),1000000.0,103,630,270,0.9353081536913881,131459.70470095097,172127.3350631155,0.9602097499882802
k18,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1e-12)",1000000.0,103,630,270,0.9326835009774085,131809.35506831433,175584.36142097067,1.2226736249867827
k19,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-12)",1000000.0,103,630,270,0.9365099392369401,128320.98695396111,170521.02841048775,1.9374929580080789
k20,"1**2 * Matern(length_scale=1, nu=2.5)",1000000.0,103,630,270,0.9326836201214397,131809.2149941976,175584.20603679147,0.7164891659922432
